competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202412,2,Nordeste,complicacoes_vasculares,complicacoes_venosas,86,49285,0.1745,389,34855.23,0
202412,2,Nordeste,complicacoes_vasculares,embolia_obstetrica,1,49285,0.002,11,182.42,0
202412,2,Nordeste,desfecho_abortivo,gestacao_com_desfecho_abortivo,4667,49285,9.4694,8722,1110332.28,0
202412,2,Nordeste,disturbios_metabolicos,diabetes_na_gestacao,1487,49285,3.0171,6836,1029903.21,0
202412,2,Nordeste,hemorragias,hemorragia_pos_parto,72,49285,0.1461,228,30767.39,0
202412,2,Nordeste,hemorragias,outras_hemorragias_obstetricas,773,49285,1.5684,1777,272721.34,0
202412,2,Nordeste,infeccoes,infeccao_geniturinaria_gestacao,662,49285,1.3432,3354,148318.36,0
202412,2,Nordeste,infeccoes,infeccao_puerperal,422,49285,0.8562,2547,137759.94,0
202412,2,Nordeste,outras_condicoes_maternas,anemia_complicando_gestacao,39,49285,0.0791,174,20727.35,0
202412,2,Nordeste,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1641,49285,3.3296,7936,634967.23,2
202412,2,Nordeste,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,12,49285,0.0243,63,5491.35,0
202412,2,Nordeste,outras_condicoes_maternas,outras_condicoes_da_gestacao,266,49285,0.5397,785,62071.18,0
202412,2,Nordeste,transtornos_hipertensivos,eclampsia,115,49285,0.2333,575,124491.34,0
202412,2,Nordeste,transtornos_hipertensivos,hipertensao_gestacional,833,49285,1.6902,2904,615673.94,1
202412,2,Nordeste,transtornos_hipertensivos,outros_hipertensivos,763,49285,1.5481,2902,624627.01,0
202412,2,Nordeste,transtornos_hipertensivos,pre_eclampsia,1988,49285,4.0337,8602,1776069.61,3
202412,3,Sudeste,complicacoes_anestesicas,anestesia_obstetrica,39,55987,0.0697,107,17770.76,0
202412,3,Sudeste,complicacoes_gestacao,liquido_membranas_ou_placenta,2031,55987,3.6276,6186,1494493.17,1
202412,3,Sudeste,complicacoes_parto,trabalho_de_parto_ou_parto,5728,55987,10.2309,15865,3772105.65,1
202412,3,Sudeste,complicacoes_puerperais,outras_complicacoes_puerperais,231,55987,0.4126,768,104407.91,1
202412,3,Sudeste,complicacoes_vasculares,complicacoes_venosas,77,55987,0.1375,379,39403.53,0
202412,3,Sudeste,complicacoes_vasculares,embolia_obstetrica,2,55987,0.0036,3,1049.30,0
202412,3,Sudeste,desfecho_abortivo,gestacao_com_desfecho_abortivo,4980,55987,8.8949,8015,1421456.34,0
